subject,window,window_index,status,status_name,phase,t_start,t_end,major_ratio,stress_ratio,rest_ratio,covered_ratio,bvp_missing_ratio,acc_missing_ratio,missing_flag,flatline_flag,clipping_ratio,clipping_flag,n_peaks,peak_sparse_flag,ibi_pass_ratio,valid_beat_ratio,ibi_plausibility,ibi_mean_sec,median_template_corr,notch_foot_peak_detectability,acc_diff_mean,acc_diff_exceed_ratio,acc_diff_flag,psd_corr_x,psd_corr_y,psd_corr_z,psd_corr_mag,psd_corr_max,psd_corr_flag,motion_score_raw,motion_score,SQI_stress_basic,SQI_stress_morph,hard_reject,motion_threshold_subject_p80,qc_relaxed_pass,TPV0,TPV1,TPV2,TPV3,TPV4,TPV5,TPV6,TPV7,TPV8,TPV9,TPV10,TPV11,TPV12,TPV13,TPV14,TPV15,TPV16,TPV17,TPV18,TPV19,TPV20,TPV21,TPV22,TPV23,TPV24,TPV25,TPV26,TPV27,TPV28,TPV29,TPV30,TPV31,TPV32
S01,window1,1,0,normal,Baseline,2013-02-20 18:01:30,2013-02-20 18:02:30,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.021614583333333333,0,73,0,0.9861111111111112,0.4722222222222222,0.9861111111111112,0.8244357638888888,0.6825143471185542,0.7734742164611816,0.9951193332672119,0.7384054194893174,1,0.7878832905796458,0.7968963441586661,0.7692857880171012,0.8684932253165583,0.8684932253165583,0,1.2912827730178833,1.0,0.4908654152466775,-0.29711397021617714,1,1.0,0,0.04435546323657036,0.11535380035638809,0.05178777128458023,0.13161779940128326,0.007432309910655022,0.020799320191144943,0.4212069511413574,9.611248970031738e-06,0.0024483725428581238,0.005542168393731117,11.858193397521973,198.7497100830078,1.648878812789917,0.0024140297900885344,0.01472026389092207,8.08563232421875,87.36864471435547,2.0700857639312744,0.0025268627796322107,0.018013134598731995,8.437646865844727,97.93492889404297,927.0,0.4212069511413574,0.2685934901237488,43824.37109375,0.4522378444671631,5.679880619049072,0.2814600467681885,0.009527080692350864,0.010681373067200184,0.7178018093109131,0.0004326117632444948
S01,window2,2,0,normal,Baseline,2013-02-20 18:02:00,2013-02-20 18:03:00,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.02109375,0,73,0,1.0,0.5138888888888888,1.0,0.80078125,0.6154960757088305,0.9426670074462891,1.1331132650375366,0.7279833246482543,1,0.7688684493347808,0.7715858136732529,0.7894858121791937,0.7105058244364715,0.7894858121791937,0,1.5406136512756348,1.0,0.49020437826820473,-0.25629256254455346,1,1.0,0,0.04456543177366257,0.12053261697292328,0.0525875948369503,0.13914982974529266,0.008022163063287735,0.023731442168354988,0.34319376945495605,3.16789373755455e-06,0.0016939337365329266,0.004355205222964287,7.899487018585205,85.21409606933594,2.033257484436035,0.0011923796264454722,0.009662816300988197,8.933984756469727,115.20631408691406,2.376451253890991,0.001227298635058105,0.011935984715819359,8.65947437286377,110.93390655517578,932.0,0.34319376945495605,0.2959083914756775,108335.0,0.5848639011383057,5.404802322387695,0.25620830059051514,0.010462610982358456,0.012654575519263744,0.7878796458244324,0.0005631812964566052
S01,window3,3,0,normal,Baseline,2013-02-20 18:02:30,2013-02-20 18:03:30,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.022135416666666668,0,64,0,0.9682539682539683,0.42857142857142855,0.9682539682539683,0.9444444444444444,0.6249777048684038,0.9426669478416443,1.4592279195785522,0.8113600833767587,1,0.7484127842100659,0.7604807450960781,0.8304932262747433,0.8654023479362818,0.8654023479362818,0,2.0180325508117676,1.0,0.4525726765398862,-0.28586661460026574,1,1.0,0,0.041849106550216675,0.09476543217897415,0.04973303899168968,0.11349605768918991,0.007883931510150433,0.025230586528778076,0.4676271080970764,6.724148988723755e-07,0.0014182571321725845,0.004747004248201847,10.50523567199707,151.73809814453125,1.131790041923523,0.0005529336631298065,0.010351601988077164,6.0657806396484375,50.94465637207031,1.384268045425415,0.0006340494728647172,0.012204199098050594,6.355471611022949,56.276466369628906,913.0,0.4676271080970764,0.2814326286315918,695444.3125,0.6379485726356506,5.365503787994385,0.41228407621383667,0.012312846258282661,0.012478049844503403,0.790492832660675,0.0006365824956446886
S01,window4,4,0,normal,Baseline,2013-02-20 18:03:00,2013-02-20 18:04:00,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.0234375,0,66,0,0.9538461538461539,0.5538461538461539,0.9538461538461539,0.8877403846153846,0.8108327034250021,1.0,0.9803145527839661,0.7076602397081814,1,0.7369364121677373,0.6792050413862667,0.7460772593999632,0.9263782713793595,0.9263782713793595,1,1.5079611539840698,1.0,0.555557503335193,-0.19036874722067254,1,1.0,0,0.04711572453379631,0.1750689297914505,0.0558166429400444,0.20341359078884125,0.008700918406248093,0.03501125052571297,0.7601959705352783,9.685056284070015e-06,0.00199129618704319,0.005289794877171516,14.695858001708984,273.5766906738281,2.4964914321899414,0.0014943770365789533,0.013803648762404919,10.370047569274902,121.17188262939453,3.2566874027252197,0.0015109486412256956,0.016370901837944984,10.648526191711426,131.02928161621094,857.0,0.7601959705352783,0.3723791241645813,78491.640625,1.1153801679611206,5.2070512771606445,0.1159282922744751,0.020060008391737938,0.013593540526926517,0.7802440524101257,0.001225787797011435
S01,window5,5,0,normal,Baseline,2013-02-20 18:03:30,2013-02-20 18:04:30,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.021354166666666667,0,80,0,1.0,0.6835443037974683,1.0,0.7543512658227848,0.902390974737213,1.0,0.5415493249893188,0.5966649296508598,1,0.5897750142599822,0.5240328584209831,0.6350690729803199,0.5899694900967765,0.6350690729803199,0,0.8756691217422485,0.8756691217422485,0.6565681017659264,0.004991913081295207,1,1.0,0,0.04121135547757149,0.07836460322141647,0.047737278044223785,0.08820652216672897,0.006525925826281309,0.014007430523633957,0.2038280963897705,2.7641654014587402e-06,0.0029680468142032623,0.0056217992678284645,8.551569938659668,98.2446517944336,0.8961347341537476,0.003781745443120599,0.01809004321694374,5.354963302612305,36.05984115600586,1.099962830543518,0.004131385590881109,0.022189654409885406,5.587671279907227,40.97686004638672,949.0,0.2038280963897705,0.1865605115890503,73739.46875,0.2266172468662262,5.986382484436035,0.42454302310943604,0.005908486433327198,0.008393867872655392,0.6424393057823181,0.0001962081150850281
S01,window6,6,0,normal,Baseline,2013-02-20 18:04:00,2013-02-20 18:05:00,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.020833333333333332,0,76,0,1.0,0.6666666666666666,1.0,0.79375,0.9217052566437564,1.0,0.7349179983139038,0.6774361646690985,1,0.6258683317040844,0.6695347010461066,0.5933826778404173,0.6719736055514469,0.6719736055514469,0,1.0360238552093506,1.0,0.6431782436597936,-0.11957368583906092,1,1.0,0,0.038575537502765656,0.08132205903530121,0.04522271081805229,0.09180723875761032,0.006647172849625349,0.014869737438857555,0.20381146669387817,5.243346095085144e-07,0.0026623252779245377,0.0053417920134961605,7.945530414581299,83.9149398803711,0.9132888913154602,0.0042302776128053665,0.01660083793103695,6.100378513336182,43.8505973815918,1.1171003580093384,0.004834163002669811,0.020020460709929466,6.211747169494629,47.08819580078125,911.0,0.20381146669387817,0.18787121772766113,388704.96875,0.24168282747268677,5.8688507080078125,0.3552200496196747,0.006590754259377718,0.008887330070137978,0.6677707433700562,0.00022110909048933536
S01,window7,7,0,normal,Baseline,2013-02-20 18:04:30,2013-02-20 18:05:30,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.02109375,0,70,0,1.0,0.7391304347826086,1.0,0.858016304347826,0.9571466644000953,1.0,0.7847728729248047,0.6680562793121417,1,0.6397179047657381,0.6977789093085593,0.5839007024465925,0.836195923926091,0.836195923926091,0,1.1083502769470215,1.0,0.6827961732330722,-0.08897420346519358,1,1.0,0,0.03706957772374153,0.0925063043832779,0.043272968381643295,0.10583078116178513,0.0062033929862082005,0.01755942590534687,0.3376411199569702,1.2735836207866669e-06,0.0018865331076085567,0.0044143772684037685,10.86147689819336,168.86105346679688,1.175203561782837,0.0012036642292514443,0.011960038915276527,6.799034595489502,56.01921463012695,1.5128446817398071,0.001323158387094736,0.014166509732604027,7.190084457397461,67.185546875,886.0,0.3376411199569702,0.211408793926239,265111.0625,0.307278573513031,5.574376583099365,0.2854834794998169,0.010171998292207718,0.009116158820688725,0.7339427471160889,0.00030833345954306424
S01,window8,8,0,normal,Baseline,2013-02-20 18:05:00,2013-02-20 18:06:00,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.021354166666666667,0,69,0,1.0,0.8088235294117647,1.0,0.8653492647058824,0.926871400259222,1.0,0.6302764415740967,0.6195935383011986,1,0.643176429068552,0.604278587621077,0.6292223456205666,0.7976662105111878,0.7976662105111878,0,0.9857004880905151,0.9857004880905151,0.703020783033421,-0.061335579202180135,1,1.0,0,0.03891056776046753,0.10164224356412888,0.04492446780204773,0.10898970067501068,0.0060139005072414875,0.011575095355510712,0.1181078553199768,7.066875696182251e-06,0.0021442067809402943,0.0048995595425367355,4.517014026641846,26.957029342651367,2.1449644565582275,0.0026030836161226034,0.013448759913444519,12.135900497436523,221.02381896972656,2.2128400802612305,0.0029917326755821705,0.015989361330866814,11.08594799041748,189.5823211669922,856.0,0.1181078553199768,0.1057828962802887,16712.880859375,0.14564825594425201,5.807438850402832,0.16592852771282196,0.005495981778949499,0.008306276984512806,0.6897830963134766,0.00013398283044807613
S01,window9,9,0,normal,Baseline,2013-02-20 18:05:30,2013-02-20 18:06:30,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.020833333333333332,0,72,0,1.0,0.9014084507042254,1.0,0.8248239436619719,0.9694369737069137,1.0,0.4808420240879059,0.645127670661803,1,0.5162005194558358,0.3034964471342555,0.5513225352101113,0.17693026074350868,0.5513225352101113,0,0.6911476850509644,0.6911476850509644,0.7822797038886679,0.2716340935870316,1,1.0,0,0.03479846566915512,0.10547177493572235,0.040857911109924316,0.12047798186540604,0.0060594454407691956,0.01878245919942856,0.3132820129394531,6.027519702911377e-06,0.00231081061065197,0.0046363333240151405,11.05146312713623,147.26040649414062,1.4015462398529053,0.003656409913673997,0.01569613628089428,9.151198387145996,93.37451934814453,1.492477536201477,0.004207483492791653,0.018500473350286484,9.161718368530273,92.90399932861328,903.0,0.3132820129394531,0.2612797021865845,51975.27734375,0.35171639919281006,5.639411926269531,0.1388847827911377,0.011747660115361214,0.008378997445106506,0.69063401222229,0.0003527808003127575
S01,window10,10,0,normal,Baseline,2013-02-20 18:06:00,2013-02-20 18:07:00,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.02265625,0,81,0,1.0,0.8625,1.0,0.7416015625,0.980519490499597,1.0,0.4784238040447235,0.6133402813965607,1,0.7746848104419426,-0.1855450394354067,0.5867876451533909,0.35951595761074867,0.7746848104419426,0,0.683822751045227,0.683822751045227,0.7707735720453563,0.2700571215796721,1,1.0,0,0.041999176144599915,0.16983143985271454,0.04834402725100517,0.1862797737121582,0.006344848778098822,0.028409097343683243,0.7444791793823242,6.891787052154541e-08,0.002272060140967369,0.004445950500667095,20.81334114074707,516.8089599609375,2.0328195095062256,0.0028749124612659216,0.014980498701334,9.60300350189209,98.76144409179688,2.234036684036255,0.003056533867493272,0.017956623807549477,9.413036346435547,94.45227813720703,888.0,0.7444791793823242,0.22434979677200317,10802411.0,0.7524324655532837,5.388924598693848,0.14339089393615723,0.023702766746282578,0.00913811381906271,0.7193097472190857,0.0008070767507888377
S01,window11,11,0,normal,Baseline,2013-02-20 18:06:30,2013-02-20 18:07:30,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.020572916666666666,0,76,0,0.9866666666666667,0.7466666666666667,0.9866666666666667,0.7916666666666666,0.9425286159417914,1.0,0.7987653017044067,0.6618030224075039,1,0.7492927410373171,0.6324254145669821,0.5084812988014671,0.8884818739601523,0.8884818739601523,0,1.3309366703033447,1.0,0.6787585847825375,-0.09303451268121876,1,1.0,0,0.04105772450566292,0.09871868789196014,0.0481388233602047,0.11334119737148285,0.007081097457557917,0.019683802500367165,0.2619768977165222,1.9599683582782745e-06,0.0024620743934065104,0.004538986831903458,7.484926223754883,70.08206939697266,0.8382870554924011,0.0025666493456810713,0.013392386958003044,4.859973430633545,25.087480545043945,0.9523743391036987,0.002582288347184658,0.016416454687714577,4.9417195320129395,26.19883918762207,864.0,0.2619768977165222,0.2304806113243103,133663.84375,0.37808123230934143,5.532712459564209,0.39644166827201843,0.010100817307829857,0.010278926230967045,0.7249603271484375,0.0003874520771205425
S01,window12,12,0,normal,Baseline,2013-02-20 18:07:00,2013-02-20 18:08:00,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.020572916666666666,0,72,0,0.9859154929577465,0.704225352112676,0.9859154929577465,0.8391285211267606,0.9231459577942894,1.0,0.8620607256889343,0.6420010422094841,1,0.7508377725784515,0.740329827862584,0.7036498601756115,0.8974435863086064,0.8974435863086064,0,1.4451311826705933,1.0,0.6558170267749065,-0.11076280632607549,1,1.0,0,0.03768698871135712,0.09100718796253204,0.04435064271092415,0.1046803891658783,0.006663650739938021,0.017560256645083427,0.2802965044975281,4.179775714874268e-06,0.002259131520986557,0.004577861167490482,8.324725151062012,94.82481384277344,1.1953067779541016,0.0033139102160930634,0.013738756068050861,6.925199508666992,59.07948684692383,1.2850008010864258,0.003505831118673086,0.01686250790953636,6.937750339508057,57.90461349487305,883.0,0.2802965044975281,0.17854201793670654,67060.1796875,0.3114931285381317,5.635824680328369,0.23614603281021118,0.008997100405395031,0.009515602141618729,0.7131845355033875,0.0003083625924773514
